date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:25	187/187	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20May%202022%2010:11:26%20GMT	http://zdzbxr.epub360.cn/robots.txt		(from )
18:11:26	26755/26755	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20May%202022%2010:11:26%20GMT	http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/	C:/My%20Web%20Sites/test/zdzbxr.epub360.cn/v2/manage/book/nwxmf0/index.html	(from )
18:11:26	1627/1627	---M--	200	added ('OK')	image/png	etag:%22FhDD7muyShJXqCjAsoJF2l4WrqPm%22	http://cdn1.zhizhucms.com/book/covermini/7b94efa8470e71046b8315d9773e2a71_256.png	C:/My%20Web%20Sites/test/cdn1.zhizhucms.com/book/covermini/7b94efa8470e71046b8315d9773e2a71_256.png_;%20filename_=utf-8''7b94efa8470e71046b8315d9773e2a71_256.png	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:26	2459/2459	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2003:19:00%20GMT	http://v2static.epub360.com/diazo/epub360player/authorization/authorization.6283601d.cache.js	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/epub360player/authorization/authorization.6283601d.cache.js	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:27	1623/1623	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2003:20:10%20GMT	http://v2static.epub360.com/thirdparty/script/script.min.js	C:/My%20Web%20Sites/test/v2static.epub360.com/thirdparty/script/script.min.js	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:27	56002/56002	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2003:19:55%20GMT	http://v2static.epub360.com/thirdparty/animate/animate.min.css	C:/My%20Web%20Sites/test/v2static.epub360.com/thirdparty/animate/animate.min.css	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:27	6752/6752	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2003:19:00%20GMT	http://v2static.epub360.com/diazo/epub360player/uasdk-1.0.5.min.js	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/epub360player/uasdk-1.0.5.min.js	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:30	221562/221562	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2003:19:14%20GMT	http://v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css	C:/My%20Web%20Sites/test/v2static.epub360.com/diazo/player-dist/mobileview.built.f1221fec.cache.css	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:30	19664/19664	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Tue,%2010%20May%202022%2010:11:31%20GMT	http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/GET	C:/My%20Web%20Sites/test/zdzbxr.epub360.cn/v2/manage/book/nwxmf0/GET	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
18:11:32	0/0	---M--	200	added ('OK')	text/css	etag:%22D41D8CD98F00B204E9800998ECF8427E%22	http://js.epub360.com/nwxmf0/56/global_fonts.css	C:/My%20Web%20Sites/test/js.epub360.com/nwxmf0/56/global_fonts.8.delayed	(from http://zdzbxr.epub360.cn/v2/manage/book/nwxmf0/)
